,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Producation_area_factor,zone
21869,Assam,KARIMGANJ,2011,Whole Year,Coconut,711.0,1469.0,2.0661040787623066,EastIndia
21905,Assam,KARIMGANJ,2012,Whole Year,Coconut,717.0,2185.0,3.0474198047419803,EastIndia
21941,Assam,KARIMGANJ,2013,Whole Year,Coconut,723.0,2429.0,3.359612724757953,EastIndia
21998,Assam,KOKRAJHAR,1997,Whole Year,Coconut,260.0,1048.0,4.030769230769231,EastIndia
22026,Assam,KOKRAJHAR,1998,Whole Year,Coconut,295.0,1820000.0,6169.4915254237285,EastIndia
22054,Assam,KOKRAJHAR,1999,Whole Year,Coconut,285.0,655000.0,2298.245614035088,EastIndia
22082,Assam,KOKRAJHAR,2000,Whole Year,Coconut,315.0,1732000.0,5498.412698412699,EastIndia
22114,Assam,KOKRAJHAR,2001,Whole Year,Coconut,325.0,1722000.0,5298.461538461538,EastIndia
22146,Assam,KOKRAJHAR,2002,Whole Year,Coconut,330.0,1672000.0,5066.666666666667,EastIndia
22181,Assam,KOKRAJHAR,2003,Whole Year,Coconut,335.0,1976000.0,5898.507462686567,EastIndia
22213,Assam,KOKRAJHAR,2004,Whole Year,Coconut,344.0,2436000.0,7081.395348837209,EastIndia
22275,Assam,KOKRAJHAR,2006,Whole Year,Coconut,401.0,2653000.0,6615.960099750623,EastIndia
22308,Assam,KOKRAJHAR,2007,Whole Year,Coconut,380.0,3453000.0,9086.842105263158,EastIndia
22342,Assam,KOKRAJHAR,2008,Whole Year,Coconut,383.0,2468000.0,6443.864229765013,EastIndia
22376,Assam,KOKRAJHAR,2009,Whole Year,Coconut,380.0,4104000.0,10800.0,EastIndia
22410,Assam,KOKRAJHAR,2010,Whole Year,Coconut,380.0,4104000.0,10800.0,EastIndia
22453,Assam,KOKRAJHAR,2011,Whole Year,Coconut,400.0,3118.0,7.795,EastIndia
22491,Assam,KOKRAJHAR,2012,Whole Year,Coconut,385.0,1666.0,4.327272727272727,EastIndia
22530,Assam,KOKRAJHAR,2013,Whole Year,Coconut,414.0,2513.0,6.070048309178744,EastIndia
22590,Assam,LAKHIMPUR,1997,Whole Year,Coconut,154.0,2072.0,13.454545454545455,EastIndia
22617,Assam,LAKHIMPUR,1998,Whole Year,Coconut,167.0,937000.0,5610.7784431137725,EastIndia
22645,Assam,LAKHIMPUR,1999,Whole Year,Coconut,181.0,281000.0,1552.486187845304,EastIndia
22673,Assam,LAKHIMPUR,2000,Whole Year,Coconut,187.0,1663000.0,8893.048128342247,EastIndia
22705,Assam,LAKHIMPUR,2001,Whole Year,Coconut,192.0,5044000.0,26270.833333333332,EastIndia
22737,Assam,LAKHIMPUR,2002,Whole Year,Coconut,200.0,1800000.0,9000.0,EastIndia
22772,Assam,LAKHIMPUR,2003,Whole Year,Coconut,229.0,2697000.0,11777.292576419213,EastIndia
